Developer / Researcher,Treatment vs. Vaccine,Product Category,Stage of Development,Anticipated Next Steps,Product Description,Clinical Trials for COVID-19,Funder,Published Results,Clinical Trials for Other Diseases (T only) / Related Use or Platform (V only),FDA-Approved Indications,Sources,Date Last Updated
Duke-NUS Medical School; various hospitals (Singapore),Treatment,Cell-based therapies,Pre-clinical,Phase I/II open label trials began in July 2020,Chimeric antigen receptors (CAR)/T cell receptors (TCR)-T cell therapy ,NCT04457726,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/10/2020
GC LabCell / KLEO Pharmaceuticals,Treatment,Cell-based therapies,Pre-clinical,Begin Phase I by end of 2020,Natural killer cell-based therapy,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/20/2020
SMSbiotech,Treatment,Cell-based therapies,Pre-clinical,Unknown,Small mobile stem (SMS) cells,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/9/2020
"AgeX
  Therapeutics/ ImStem Biotechnology",Treatment,Cell-based therapies,Pre-clinical,,"IMS001, human embryonic stem cell-derived mesenchymal stem cells (hES-MSC)",,,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/17/2020
"Baylx, Inc. ",Treatment,Cell-based therapies,Pre-clinical,FDA cleared Investigational New Drug (IND) application for BX-U001,"BX-U001, allogeneic umbilical cord derived mesenchymal stem cell (hUC-MSC)",,Unknown,,Rheumatoid arthritis,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,10/6/2020
Sentien Biotechnologies,Treatment,Cell-based therapies,Pre-clinical,Phase I/II trial to start August 2020 Phase I/II now recruiting Nov 2020.,"SBI-101, biologic/device combo product with allogeneic mesenchymal stem cells and a phasmapheresis device",NCT04445220,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/24/2020
Daewoong,Treatment,Cell-based therapies,Clinical,Phase I trial started July 2020,"DWP710, DW-MSC, a mesenchymal stem cell therapy",NCT04535856,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/10/2020
Vitro Biopharma/ Global Institute of Stem Cell Therapy and Research,Treatment,Cell-based therapies,Clinical,Individual expanded access results released July 2020; IND submitted to FDA April 2020,"AlloRx stem cells, umbilical cord mesenchyma stem cell therapy",,Unknown,Vitro Biopharma (https://vitrobiopharma.com/critically-ill-covid-19-patient-successfully-treated-with-vitro-biopharmas-allorx-stem-cells/),Inflammatory conditions,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/23/2020
AgenTus Therapeutics (Agenus) ,Treatment,Cell-based therapies,Clinical,FDA cleared Phase I trial June 2020; First patient dosed Nov 2020 ,"AgenT-797, allogeneic invariant natural killer T cells",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/13/2020
Cellenkos,Treatment,Cell-based therapies,Clinical,Two case reports released July 2020; FDA cleared Phase I trial July 2020,"CK0802, allogeneic cell therapy containing T-regulatory cells from umbilical cord blood processed to express lung homing markers on the cell surface ",NCT04468971,Unknown,Annuals Intern Med (https://doi.org/10.7326/L20-0681),,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/23/2020
Red de Terapia Celular (TerCel),Treatment,Cell-based therapies,Clinical,"Phase
  I/II trial recruiting July 2020","MSV_allo, allogenic mesenchymal stem cells",NCT04361942,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/24/2020
Aspire Health Science,Treatment,Cell-based therapies,Clinical,Phase I/II trial FDA cleared June 2020,"ACT-20, allogeneic cell preparation of mesenchymal stem cells from umbilical cord tissue",NCT04398303,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/23/2020
Trustem Cell Therapy,Treatment,Cell-based therapies,Clinical,Phase II trial to start in Columbia in July 2020,Umbilical cord-derived mesenchymal stem cells,NCT04429763,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/22/2020
Caladrius Biosciences,Treatment,Cell-based therapies,Clinical,Phase II trial expected to start Q3 2020; Phase I open label trial began Oct 2020,"CLBS119, autologous peripheral blood-derived CD34+ cell therapy ",NCT04522817,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,10/13/2020
Enlivex Therapeutics,Treatment,Cell-based therapies,Clinical,Phase II trial started May 2020; First patient dosed in phase II trials in Israel,"Allocetra, early apopototic cells",NCT04659304,Unknown,,Sepsis,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/10/2020
Cynata Therapeutics,Treatment,Cell-based therapies,Clinical,Phase II to start in July 2020 in Australia,Mesenchymal stem cells,NCT04537351,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/4/2020
BioCardia,Treatment,Cell-based therapies,Pre-clinical,Unknown,"BCDA-4, bone marrow-derived allogenic neurokinin-1 receptor positive mesenchymal stem cells",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/6/2020
Kangstem Biotech,Treatment,Cell-based therapies,Pre-clinical,Unknown,"Furestem RA, allogenic umbilical cord blood-derived stem cell therapy",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/23/2020
Therapeutic Solutions International,Treatment,Cell-based therapies,Clinical,Unknown,"StemVacs, universal donor natural killer cell-based therapy ",,Unknown,,Cancer,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/23/2020
Citius/Novellus,Treatment,Cell-based therapies,Pre-clinical,Phase I trial to start by end of 2020,"NoveCite cells (NC-MSCs), mesenchymal stem cells derived from a single donor's fibroblasts",,Unknown,CitiusPharma (https://ir.citiuspharma.com/press-releases/detail/128/citius-pharmaceuticals-subsidiary-novecite-announces-data),,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/8/2020
CAR-T (Shanghai) Biotechnology,Treatment,Cell-based therapies,Pre-clinical,Phase I/II trials began April 2020 ,Dental pulp-derived mesenchymal stem cells,"NCT04336254, NCT04302519",Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/24/2020
Regeneris Medical,Treatment,Cell-based therapies,Pre-clinical,Unknown,Autologous Adipose-Tissue Derived Mesenchymal Stem Cells (ADMSCs) ,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/23/2020
Sirnaomics,Treatment,RNA-based treatments,Pre-clinical,Unknown,RNAi - testing 150 RNAis,,Unknown,Frontiers in Microbiology (https://doi.org/10.3389/fmicb.2020.571553),,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/4/2020
Vir Biotech / Alnylam Pharmaceuticals,Treatment,RNA-based treatments,Pre-clinical,Phase I to start by the end of 2020,VIR-2703 (ALN-COV) siRNA candidate,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/5/2020
Mateon Therapeutics,Treatment,RNA-based treatments,Clinical,"Phase II study IND submitted to FDA on April 27, 2020; Phase II trials approved in Peru Nov 2020","OT-101, a TGF-Beta antisense drug candidate",,Unknown,,Various cancers,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/10/2020
Neurimmune/ Ethris,Treatment,RNA-based treatments,Pre-clinical,Phase I to start Q4 2020,Inhaled mRNA,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,10/7/2020
Sarepta Therapeutics / US Army Medical Research Institute of Infectious Diseases (USAMRIID),Treatment,RNA-based treatments,Pre-clinical,Unknown,"Antisense oligonucleotides, peptide conjugated",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/28/2020
AIM ImmunoTech/ National Institute of Infectious Diseases in Japan/ Roswell Park Comprehensive Cancer Center,Treatment,RNA-based treatments,Pre-clinical,"Phase I/II trial of Ampligen (rintatolimod), in combination with interferon alfa-2b, in cancer patients with COVID-19 not yet recruiting July 2020",Ampligen; (rintatolimod),NCT04379518,National Cancer Institute,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/19/2020
COVID-19 Therapeutics Accelerator,Treatment,Scanning compounds to repurpose,Pre-clinical,Unknown,Scanning compound libraries,,Gates Foundation / Wellcome / Mastercard Impact Fund,,N/A,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/1/2020
Vir Biotechnology / GSK,Treatment,Scanning compounds to repurpose,Pre-clinical,Unknown,Identify anti-coronavirus compounds that target cellular host genes,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/29/2020
Southwest Research Institute,Treatment,Scanning compounds to repurpose,Pre-clinical,Unknown,Screening drug compounds,,Henry M. Jackson Foundation for the Advancement of Military Medicine,,N/A,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/13/2020
Janssen Pharmaceutical Companies,Treatment,Scanning compounds to repurpose,Pre-clinical,Unknown,Scanning library of antiviral compounds,,Biomedical Advanced Research and Development Authority (BARDA),,N/A,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Anixa Biosciences / OntoChem,Treatment,Scanning compounds to repurpose,Pre-clinical,"Initial in silico screening completed July 2020, testing identified compounds in pre-clincial studies July 2020",Screening for antiviral drug candidates,,Unknown,,,,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/14/2020
Vanda Pharmaceuticals / University of Illinois at Chicago,Treatment,Scanning compounds to repurpose,Pre-clinical,Unknown,Screening of drug compounds,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/29/2020
Queens University Belfast,Treatment,Scanning compounds to repurpose,Pre-clinical,Unknown,Scanning compounds to repurpose,,UK Government,,N/A,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/7/2020
Healx,Treatment,Scanning compounds to repurpose,Pre-clinical,Combinations will be ready for pre-clinical testing in May 2020,Artificial intellegence-based screening to identify repurposed drug combinations,,Unknown,,N/A,,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/14/2020
Materia Medica/Cyclica/Manin,Treatment,Scanning compounds to repurpose,Pre-clinical,Unknown,Repurposing antiviral drug candidates,,Unknown,,N/A,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/7/2020
Takeda,Treatment,Scanning compounds to repurpose,Pre-clinical,Unknown,Scanning compounds to repurpose,,Unknown,,N/A,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Enanta Pharmaceuticals,Treatment,Scanning compounds to repurpose,Pre-clinical,Unknown,Screening new drugs + library of antiviral compounds,,Unknown,,N/A,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Shionogi / Hokkaido University Research Center for Zoonosis Control,Treatment,Scanning compounds to repurpose,Pre-clinical,Unknown,Identify novel drugs,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/14/2020
Nuritas,Treatment,Scanning compounds to repurpose,Pre-clinical,Unknown,AI-based screening to identify a peptide cocktail,,Partnership for Advanced Computing in Europe (PACE),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/24/2020
Pfizer,Treatment,Scanning compounds to repurpose,Pre-clinical,Lead candidate (protease inhibitor) to start Phase I trial in Q3 2020,Scanning antiviral compounds previously in development,,Unknown,,N/A,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/28/2020
Novartis,Treatment,Scanning compounds to repurpose,Pre-clinical,Unknown,Scanning compounds to repurpose,,Unknown,,N/A,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
"Sanford Burnham Prebys Medical Discovery Institute, the University of Hong Kong, Scripps Research, UC San Diego School of Medicine, the Icahn School of Medicine at Mount Sinai and UCLA",Treatment,Scanning compounds to repurpose,Pre-clinical,Testing drugs ONO5344 and VBY825 July 2020; identified 30 known drugs that inhibit SARS-CoV-2 replication,Identifying drugs to repurpose,,US Department of Defense; California Institute for Regenerative Medicine,"bioRxiv (https://doi.org/10.1101/2020.04.16.044016), Nature (https://www.nature.com/articles/s41586-020-2577-1)",,,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/27/2020
The Castleman Disease Collaborative Network and the Center for Study & Treatment of Inflammatory Lymphadenopathies,Treatment,Scanning compounds to repurpose,Pre-clinical,Unknown,Identifying drugs to repurpose,,Unknown,,,,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Merck,Treatment,Scanning compounds to repurpose,Pre-clinical,Unknown,Scanning compounds to repurpose,,Unknown,,N/A,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/24/2020
"Wyss
  Institute",Treatment,Scanning compounds to repurpose,Pre-clinical,Unknown,Identify FDA-approved drugs to repurpose to prevent or treat COVID-19,,US Defense Advanced Research Projects Agency (DARPA),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/17/2020
"Exscalate4Cov,
  public-private consortium",Treatment,Scanning compounds to repurpose,Pre-clinical,Unknown,Screening a chemical library of 500 billion molecules,,European Commision's Horizon 2020,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/25/2020
Quantitative Biosciences Institute Coronavirus Research Group,Treatment,Scanning compounds to repurpose,Pre-clinical,Unknown,Reviewing existing drugs and compounds through mapping viral-human protein interactions,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/1/2020
Bioxytran,Treatment,Other,Pre-clinical,Unknown,BXT-25; glycoprotein,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/27/2020
Evelo Biosciences/ Rutgers University/ Robert Wood Johnson University Hospital/ TACTIC-E trial (Cambridge University Hospitals NHS Foundation Trust),Treatment,Other,Clinical,Part of Phase II/III Phase TACTIC-E trial and interim data expected 4Q 2020; Phase II US trial to start August 2020,"EDP1815, oral single strain of microbe ",NCT04393246,Unknown,,Psoriasis and Atopic Dermatitis,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/30/2020
MedinCell/ University of Utah/ Surgisphere Corp; University of Baghdad; Tanta University; other global research sponsors,Treatment,Other,Clinical,Phase II to start in August 2020; Phase II began Oct 2020,ivermectin,"NCT04343092, NCT04345419, NCT04351347, NCT04407507, NCT04392713, NCT04425707, NCT04438850, NCT04405843, NCT04429711, NCT04374279, NCT04360356, NCT04381884, NCT04447235, NCT04435587, NCT04434144, NCT04445311, EudraCT 2020-001474-29, EudraCT 2020-002091-12, EudraCT 2020-001994-66, NCT04460547, NCT04431466, NCT04446104, NCT04446429, NCT04472585, ISRCTN40302986, EudraCT 2020-001971-33, NCT04482686, NCT04551755, NCT04602507",Unknown,"medRxiv (https://doi.org/10.1101/2020.06.06.20124461), medRxiv (https://doi.org/10.1101/2020.07.07.20145979), Antiviral Research (https://www.sciencedirect.com/science/article/pii/S0166354220302011), medRxiv (doi: https://doi.org/10.1101/2020.10.29.20222661), Research Square (doi:10.21203/rs.3.rs-100956/v1), Healio (https://www.healio.com/news/primary-care/20201208/this-was-a-gift-to-us-ivermectin-effective-for-covid19-prophylaxis-treatment)",,FDA-approved since 1996; approved to treat intestinal parasites and head lice infestations,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/9/2020
Vanda Pharmaceuticals / Feinstein Institutes for Medical Research at Northwell Health,Treatment,Other,Clinical,Phase III trial started in April 2020,"tradipitant, a neurokinin-1 receptor antagonist",NCT04326426,Unknown,Vanda Pharmaceuticals (https://vandapharmaceuticalsinc.gcs-web.com/node/14256/pdf),"Gastroparesis, motion sickness, and atopic dermatitis",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/1/2020
Can-Fite BioPharma,Treatment,Other,Clinical,IND (investigational new drug application) expected to be filed with FDA by end of July 2020; IND approved Sept 2020,"piclidenoson, A3 adenosine receptor agonist",NCT04333472,Unknown,,Rheumatoid arthritis; psoriasis,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/9/2020
Eagle Pharmaceuticals / Amneal Pharmaceuticals / Alcami Corporation / Hackensack University Medical Center,Treatment,Other,Clinical,Unknown,"Ryanodex (dantrolene sodium), skeletal muscle relaxant",,Unknown,,,"FDA-approved since 2014, approved to prevent and treat malignant hyperthermia",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/21/2020
"Novartis / Incyte, numerous researchers globally",Treatment,Other,Clinical,Novartis/Incyte Phase III trial started April 2020; Expanded access protocols,Jakafi/jakavi (ruxolitinib),"ChiCTR2000029580, NCT04334044, NCT04331665, NCT04337359, NCT04348071, NCT04338958, NCT04348695, NCT04355793, NCT04354714, NCT04377620, NCT04362137, NCT04366232, NCT04361903, NCT04374149, NCT04338958, NCT04359290, NCT04414098, NCT04403243, EudraCT 2020-001754-21, EudraCT 2020-001963-10",LIfeArc (RAVEN trial),J. Allergy & Clinical Immuno. (https://www.jacionline.org/article/S0091-6749(20)30738-7/abstract),,"FDA-approved since 2011, approved to treat myelofibrosis, polycythemia vera, and acute graft-versus-host disease",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/15/2020
Romark Laboratories; various researchers globally,Treatment,Other,Clinical,Phase II/III and Phase III trials recruiting July 2020; Phase II trial completed (Brazil); Phase II trials began for the TriACT Trial Nov 2020,"nitazoxanide, antiprotozoal","NCT04351347, NCT04348409, NCT04343248, NCT04341493, NCT04345419, NCT04435314, NCT04441398, NCT04463264, NCT04459286, NCT04486313, NCT04423861, NCT04392427, NCT04406246, NCT04382846, NCT04552483, NCT04561219, NCT04605588",Unknown,,,"FDA-approved since 2002, approved to treat diarrhea caused by Giardia lamblia or Cryptosporidum parvum",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/6/2020
CEL-SCI / University of Georgia Center for Vaccines and Immunology,Treatment,Other,Pre-clinical,Animal study results released July 2020,LEAPS COVID 19 conjugate; Peptides targeting the NP protein,,Unknown,https://www.drugtargetreview.com/news/77830/novel-peptide-therapy-improves-covid-19-survival-by-leaps-and-bounds-in-mice/,,Unknown,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/8/2020
"Zydus Cadila Group; The Camelot Foundation
",Treatment,Other,Clinical,Phase II/III enrolling May 2020,"interferon/peginterferon alpha-2b, PegIntron, Sylatron, IntronA, PegiHep 
","NCT04273763, NCT04349410, NCT04379518, NCT04647695",Unknown,medRxiv (https://doi.org/10.1101/2020.05.29.20109199),,"PegIntron - FDA-approved since 2001, approved to treat hepatitis C; Sylatron - FDA-approved since 2001, approved for the adjuvant treatment of melanoma; Intron A - FDA-approved since 1986, approved to treat hepatitis C and certain cancers",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/8/2020
Cyclacel Pharmaceuticals / University of Edinburgh,Treatment,Other,Clinical,Unknown,"roscovitine seliciclib, cyclin-dependent kinase (CDK)2/9 inhibitor",,LifeArc,,Rheumatoid arthritis,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/23/2020
aTyr,Treatment,Other,Clinical,Phase II study started in June 2020; Phase 2 enrollment completed Oct 2020,"ATYR1923, fusion protein (immuno-modulatory domain of histidyl tRNA synthetase fused to the Fc region of a human antibody) modulator of neuropilin-2",NCT04412668,Unknown,,Pulmonary sarcoidosis,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/19/2020
"Partner Therapeutics/ Singapore General Hospital/ University Hospital, Ghent",Treatment,Other,Clinical,"Phase II and Phase IV trials recruiting July 2020, enrollment for Phase II began August 2020","Leukine (sargramostim, rhu-Granulocyte macrophage colony stimulating factor )","NCT04326920, NCT04400929, NCT04411680, EudraCT 2020-001254-22, NCT04411680, https://clinicaltrials.gov/ct2/show/NCT04642950?term=Leukine&cond=COVID&draw=2&rank=4",Other Transaction Agreement (OTA) with Department of Defense (DoD),https://clinicaltrials.gov/ct2/show/NCT04642950?term=Leukine&cond=COVID&draw=2&rank=4,Pulmonary conditions that affect alveolar macrophases (nebulized leukine); ARDS (IV leukine),"FDA-approved since 1991, approved to shorten the time to neutrophil recovery and reduce the incidence of infections following chemotherapy, mobilize hematopoietic progenitor cells, accelerate myeloid reconstitution following bone marrow or cell transplantation, treat delayed neutrophil recovery or graft failure after bone marrow transplantation, and increase survival of radiation",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/30/2020
Aldeyra Therapeutics,Treatment,Other,Clinical,IND submission to FDA in June 2020; FDA approval to begin Phase II trials in Sept 2020,"ADX-1612, HSP 90 inhibitor",,Unknown,,Various cancers,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/11/2020
"Chimerix
",Treatment,Other,Clinical,Phase II/III trial recruiting July 2020,"DSTAT (dociparstat sodium), glycosaminoglycan derivative of heparin
",NCT04389840,Unknown,,"Acute myeloid leukemia
",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/17/2020
Biomarck Pharmaceuticals,Treatment,Other,Clinical,Unknown,"BIO-11006, inhaled peptide",,Unknown,,Acute Respiratory Distress Syndrome; Non-Small Cell Lung Cancer; Chronic Obstructive Pulmonary Disease (COPD),N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/24/2020
Numerous global sponsors,Treatment,Other,Clinical,Phase III trial recruiting May 2020,Recombinant human interferon alpha-1b,"NCT04320238, NCT04251871, NCT04275388",Unknown,medRxiv (https://doi.org/10.1101/2020.04.11.20061473),,,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/27/2020
"SciTech Development, LLC",Treatment,Other,Clinical,Unknown,"ST-001 nanoFenretinide (fenretinide)
",,Unknown,,non-Hodgkin's lymphoma,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
"Beth Israel Deaconess, the University of Colorado Anschultz Medical Campus, and Denver Health (Genentech); University College London; Boehringer Ingelheim",Treatment,Other,Clinical,Phase II trial recruiting; Individual patient expanded access,"Activase (alteplase), tissue plasminogen activator (tPA)","NCT04357730, NCT04356833, EudraCT 2020-001640-26, NCT04453371, https://clinicaltrials.gov/ct2/show/NCT04640194?term=Activase&cond=COVID&draw=2&rank=4",Unknown,J Thromb Haemost (https://onlinelibrary.wiley.com/doi/epdf/10.1111/jth.14828),,"FDA-approved since 1987, approved to treat stroke, myocardial infarction, and pulmonary embolism",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/30/2020
"Multiple global research sponsors, including UK SPIKE-1 trial",Treatment,Other,Clinical,"Phase I/II, Phase II, and Phase III trials recruiting in May 2020; Phase II (CAMELOT Trial) enrollment began Nov 2020","camostat mesylate, transmembrane protease serine 2 (TMPRSS2) inhibitor, approved in Japan to treat multiple conditions including pancreatitis","NCT04321096, NCT04353284, NCT04338906, NCT04374019, NCT04355052, EudraCT 2020-002233-15, NCT04455815, NCT04583592, NCT04652765",LIfeArc (SPIKE-1 trial),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/7/2020
