Athlete,Sport,Substance/Reason,Sanction Terms,Sanction Announced
"Schiefer, John",Cycling,Clomiphene and its metabolite,6-Month Suspension - Loss of Results,09/06/2017
"Wuebben, Zachary",Weightlifting,Clomiphene and Methylphenidate metabolite Ritalinic Acid,4-Year Suspension - Loss of Results,08/31/2017
"Heinzl, Sarah",Paralympic Basketball,Non-Analytical: Use (Higenamine),Public Warning,08/29/2017
"LeoGrande, Kayle",Cycling,"Raloxifene, Ostarine, Ibutamoren, GW1516 sulfone, RAD140, LGD4033, Andarine",8-Year Suspension - Loss of Results,08/28/2017
"Herbert, Zack",Weightlifting,Non-Analytical: Refusal to Submit to Sample Collection,2-Year Suspension - Loss of Results; Sanction tolled due to retirement; Unretired - Eligible to compete starting 3/7/2020,08/22/2017
"Cannetti, Guido",Mixed Martial Arts,"Hydrochlorothiazide, Chlorothiazide, Ostarine and Stanozolol Metabolites",10-Month Suspension,08/18/2017
"Acevedo-Fuller, Carlee",Weightlifting,"Higenamine, 1,4-dimethylpentylamine",9-Month Suspension - Loss of Results,08/16/2017
"Goodwin, Marquise",Track and Field,Non-Analytical: 3 Whereabouts Failures,1-Year Suspension - Loss of Results,08/15/2017
"Carter, Chris",Track and Field,Ostarine,9-Month Suspension - Loss of Results,08/11/2017
"Blazejack, Tony",Cycling,Clenbuterol,4-Year Suspension - Loss of Results,08/08/2017
"Stohr, Riley",Luge,Cannabinoids,6-Month Suspension - Loss of Results; Sanction tolled due to retirement,07/27/2017
"Cruse, J.C.",Bobsled and Skeleton,Dimethylbutylamine (DMBA),16-Month Suspension - Loss of Results,07/20/2017
"Bushey, Kayla",Track and Field,Non-Analytical: Use and Possession,2-Year Suspension - Loss of Results,07/19/2017
"McPherson, Scott",Track and Field,Androgenic Anabolic Steroid,4-Year Suspension - Loss of Results; Sanction tolled due to retirement,07/17/2017
"Nguyen, Tam",Weightlifting,Non-Analytical: Refusal to Submit to Sample Collection,4-Year Suspension - Loss of Results,07/14/2017
"Johnson, Gea",Cycling,Modafinil,21-Month Suspension - Loss of Results,07/07/2017
"Barnes, Benjamin",Weightlifting,GW1516,4-Year Suspension - Loss of Results,06/30/2017
"Bayer, David",Weightlifting,Clomiphene and GW1516,2.5-Year Suspension - Loss of Results,06/30/2017
"Roberts, Gil",Track and Field,Probenecid,No Fault or Negligence,06/26/2017
"Sullivan, George",Mixed Martial Arts,Clomiphene and its metabolite,1-Year Suspension; Second Violation,06/20/2017
"Wilson, Ajee",Track and Field,Zeranol,No Fault or Negligence - Loss of Results,06/19/2017
"Gibilaro, Ariel",Archery,Canrenone,Public Warning,06/16/2017
"Dykes, Kelly",Weightlifting,Ostarine,8-Year Suspension - Loss of Results; Second Violation,06/08/2017
"Park, Peter",Paralympic Track and Field,Androgenic Anabolic Steroid,21-Month Suspension - Loss of Results,06/08/2017
"Nackoul, Michael",Weightlifting,Non-Analytical: Possession (Peptides),4-Year Suspension - Loss of Results,06/02/2017
"Dosterschill, Robert Kyle",Weightlifting,"Androgenic Anabolic Steroid, Amphetamine, Drostanolone, Mesterolone and dehydrochloromethyltestosterone (DHCMT)",4-Year Suspension - Loss of Results,05/31/2017
"Moore, Tyler",Weightlifting,Ostarine,4-Year Suspension - Loss of Results; Sanction tolled due to retirement,05/26/2017
"Creveling, Chris",Speedskating,Clomiphene,4-Year Suspension - Loss of Results; Sanction tolled due to retirement,05/15/2017
"Young, Jason",Track and Field,Non-Analytical: Use and Possession (Peptides),4-Year Suspension - Loss of Results; Sanction tolled due to retirement,05/12/2017
"Gastelum, Kelvin",Mixed Martial Arts,Cannabinoids,6-Month Suspension with 3-Month Deferral,05/11/2017
"Gingras, Michael",Weightlifting - Athlete Support Personnel,"Non-Analytical: Possession, Trafficking, and Administration",Lifetime Suspension with Reduction  to 12 Years - Loss of Results; Sanction tolled due to retirement,05/11/2017
"Oliver, Imani",Track and Field,Ostarine,1-Year Suspension - Loss of Results,05/09/2017
"Abreu, Ricardo",Mixed Martial Arts,Androgenic Anabolic Steroid & 19-norandrosterone (19-NA),4-Year Suspension: Sanction is tolled until athlete returns from retirement. Second Violation.,05/05/2017
"Moore, Darien",Track and Field,Methandienone,4-Year Suspension - Loss of Results,05/04/2017
"Harvey, Scot",Cycling,Non-Analytical: Refusal to Submit to Sample Collection,4-Year Suspension - Loss of Results,05/03/2017
"Nielson, Cliff",Track and Field,Non-Analytical: Use and Possession (Peptides),4-Year Suspension - Loss of Results,05/02/2017
"Beckwith-Ludlow, Molly",Track and Field,Clomiphene,Public Warning,05/01/2017
"Mir, Francisco",Mixed Martial Arts,Dehydrochloromethyltestosterone (DHCMT),2-Year Suspension,04/21/2017
"Rollins, Brianna",Track and Field,Non-Analytical: 3 Whereabouts Failures,1-Year Suspension - Loss of Results,04/20/2017
"Geving, Amanda",Cycling,Acetazolamide,12-Month Suspension - Loss of Results,04/19/2017
"Schrodt, Patrick ""Dillon""",Bobsled and Skeleton,Dimethylbutylamine (DMBA),16-Month Suspension - Loss of Results,04/06/2017
"Ledet, Justin",Mixed Martial Arts,1-testosterone and 1-androstenedione,4-Month Suspension,04/05/2017
"Good, Lyman",Mixed Martial Arts,1-androstenedione and its metabolite,6-Month Suspension,04/03/2017
"Nicolau Pereira, Matheus",Mixed Martial Arts,Anastrozole,1-Year Suspension,03/29/2017
"Hall, Mary",Weightlifting,Oxandrolone and its metabolite,4-Year Suspension - Loss of Results,03/28/2017
"Pires Nogueira, Leonardo",Brazilian Jiu-Jitsu,Clomiphene,2-Year Suspension - Loss of Results,03/27/2017
"Andrade, Viscardi",Mixed Martial Arts,Stanozolol and its metabolites,2-Year Suspension,03/21/2017
"Dykes, Kelly",Weightlifting,"Clenbuterol, Ostarine, and a Tamoxifen metabolite",4-Year Suspension - Loss of Results,03/16/2017
"Green, Roderick","Paralympic Track and Field, Paralympic Volleyball",Ostarine,9-Month Suspension - Loss of Results,03/14/2017
"Prenoveau, Robert",Paralympic Curling,Hydrochlorothiazide and Chlorothiazide,Public Warning - Loss of Results,03/07/2017
"Cosby-Toruga, Jessica",Track and Field,Androgenic Anabolic Steroid,6-Year Suspension - Loss of Results; Second Violation; Sanction tolled due to retirement,03/06/2017
"Dawson, Gabriel",Weightlifting,Amphetamine,4-Year Suspension - Loss of Results,03/02/2017
"Lawlor, Tom",Mixed Martial Arts,Ostarine,2-Year Suspension,02/24/2017
"Pierik, Vincent",Weightlifting,"19-Norandrosterone (19-NA), Drostanolone and its metabolites, and Epitrenbolone",4-Year Suspension - Loss of Results,02/21/2017
"Thomas, Tammy",Cycling,Norbolethone,Lifetime Ban - Loss of Results - Sanction Reduced,Original: 08/30/2002; Updated: 02/13/2017
"Harper-Nelson, Dawn",Track and Field,Hydrochlorothiazide,3-Month Suspension - Loss of Results,02/07/2017
"Omielanczuk, Daniel",Mixed Martial Arts,Meldonium,No Fault or Negligence,02/06/2017
"Cabada, Fernando",Track and Field,Clenbuterol,No Fault or Negligence,02/02/2017
"Olivieri, Luis Felipe",Mixed Martial Arts,Methyltestosterone,2-Year Suspension,01/25/2017
"Vrabel, Andrew",Weightlifting,Non-Analytical,4-Year Suspension - Loss of Results; Sanction tolled due to retirement,01/11/2017
"Chan, Charis",Weightlifting,Epitrenbolone,4-Year Suspension - Loss of Results,01/09/2017
"Matsushima, Angelique",Weightlifting,Cannabinoids,6-Month Suspension with 3-Month Deferral - Loss of Results,01/06/2017
"Lesnar, Brock",Mixed Martial Arts,Clomiphene,1-Year Suspension,01/04/2017
"Lamour, Joseph",Team Handball,Amphetamine,2-Year Suspension - Loss of Results,12/22/2016
"Ferreira, Carlos Diego",Mixed Martial Arts,Ostarine and 7-keto-DHEA,17-Month Suspension,12/21/2016
"Mazzie, Joseph",Roller Sports,RAD140 and Ibutamoren,4-Year Suspension - Loss of Results,12/20/2016
"Hudson, Ryan",Weightlifting,Stanozolol Metabolites,4-Year Suspension - Loss of Results; Sanction was tolled due to retirement; Unretired - Eligible to compete starting 4/4/2021,12/15/2016
"Mossberg, Nick",Track and Field,Non-Analytical: Use and Possession (Peptides),4-Year Suspension - Loss of Results; Sanction tolled due to retirement,12/14/2016
"Luton, Thomas",Cycling,"Non-Analytical: Use and Possession (EPO, hGH, Testosterone)",4-Year Suspension - Loss of Results,12/13/2016
"Reyes, Brandon",Weightlifting,"1,3-dimethylbutylamine (DMBA)",6-Month Suspension - Loss of Results,12/07/2016
"Moore, Nicole",Weightlifting,"1,3-dimethylbutylamine (DMBA)",6-Month Suspension - Loss of Results,12/05/2016
"Pinney, Ryan",Paralympic Cycling,Androgenic Anabolic Steroid,18-Month Suspension - Loss of Results,12/01/2016
"Machida, Lyoto",Mixed Martial Arts,7?keto?DHEA,18-Month Suspension,11/16/2016
"Sullivan, George",Mixed Martial Arts,Non-Analytical: Use (IGF-1),1-Year Suspension,11/08/2016
"Dunkum, Michael",Wrestling,Non-Analytical: Use and Possession (Peptides),4-Year Suspension - Loss of Results; Sanction tolled due to retirement,11/07/2016
"Jones, Jon",Mixed Martial Arts,"Clomiphene, Letrozole",1-Year Suspension,11/07/2016
"Bidlow, Cody",Track and Field,Non-Analytical:: Use (Peptides),4-Year Suspension - Loss of Results,11/03/2016
"Root, Tim",Cycling,Non-Analytical: Failure to Appear to Sample Collection,4-Year Suspension - Loss of Results,11/02/2016
"Ulloa, Camilo",Cycling,Androgenic Anabolic Steroid and Methylphenidate,4-Year Suspension - Loss of Results,10/26/2016
"Edilov, Abdul-Kerim",Mixed Martial Arts,Meldonium,15 Month Suspension - Loss of Results,10/21/2016
"Danielson, Tom",Cycling,Androgenic Anabolic Steroid,4-Year Suspension - Loss of Results; Second Violation,10/06/2016
"Diaz, Nate",Mixed Martial Arts,Cannabinoids,Public Warning,10/06/2016
"Tovar, Oscar",Cycling,Androgenic Anabolic Steroid,2-Year Suspension - Loss of Results - Additional Results Disqualified,Original: 10/28/2015; Updated: 10/04/2016
"D'Aurelio, Shawn",Cycling,Non-Analytical: Refusal to Submit to Sample Collection,4-Year Suspension - Loss of Results,10/03/2016
"Kimmons, Trell",Track and Field,"1,3-dimethylbutylamine",2-Year Suspension - Loss of Results,09/27/2016
"Schwab, Jeff",Cycling,Androgenic Anabolic Steroid,2-Year Suspension - Loss of Results,09/08/2016
"Rivera, Rizelyx",Weightlifting,Oxycodone,1-Year Suspension - Loss of Results,09/06/2016
"Jingliang, Li",Mixed Martial Arts,Clenbuterol,No Fault or Negligence,09/02/2016
"Fagua Raquira, Ana Milena",Cycling,Androgenic Anabolic Steroid,4-Year Suspension - Loss of Results,09/01/2016
"Montano, Augusto",Mixed Martial Arts,Clenbuterol,No Fault or Negligence,08/31/2016
"Tutukin, Ivan",Triathlon,Meldonium,No Fault or Negligence - Loss of Results,08/31/2016
"Denney Phillips, Jessica","Cycling, Weightlifting",Non-Analytical: Use (IV),14 Month Suspension - Loss of Results,08/24/2016
"Baatz, Robert",Cycling,Androgenic Anabolic Steroid,2-Year Suspension - Loss of Results,08/23/2016
"Ciolli, Kimberly",Cycling,Androgenic Anabolic Steroid and Propylhexadrine,2-Year Suspension - Loss of Results,08/22/2016
"Burka Gameda, Gebo",Track and Field,Prednisone,18-Month Suspension - Loss of Results,08/19/2016
"Verrando-Higgins, Mary",Cycling,Metabolites of Methyltestosterone,1-Year Suspension - Loss of Results,08/15/2016
"Riggs, Crystal",Weightlifting,Furosemide,6-Month Suspension - Loss of Results,08/12/2016
"Cawley, Thomas",Track and Field,Non-Analytical: Use,4-Year Suspension - Loss of Results; Sanction tolled due to retirement,08/11/2016
"Guangyou, Ning",Mixed Martial Arts,Clenbuterol,No Fault or Negligence,08/09/2016
"Anderson, Robert",Paralympic Judo,Non-Analytical: Use (Vilanterol),3-Month Suspension - Loss of Results,08/04/2016
"Palmer, Liz",Track and Field,Methandienone metabolite,4-Year Suspension with 6 Month Reduction - Loss of Results,08/03/2016
"Abreu, Ricardo",Mixed Martial Arts,Androgenic Anabolic Steroid & 19-norandrosterone (19-NA),2-Year Suspension - Loss of Results,07/29/2016
"Lobintsev, Nikita",Swimming,Meldonium,No Fault or Negligence,07/29/2016
"Makhachev, Islam",Mixed Martial Arts,Meldonium,No Fault or Negligence,07/27/2016
"Bough, Gino",Karate,Non-Analytical: 3 Whereabouts Failures,1-Year Suspension - Loss of Results,07/25/2016
"Tarasevich, Grigory",Swimming,Meldonium,No Fault or Negligence - Loss of Results,07/22/2016
"Lehonkova, Nataliya",Track and Field,Meldonium,No Fault or Negligence,07/21/2016
"Mendes, Chad",Mixed Martial Arts,Growth Hormone-Releasing Hexapeptide,2-Year Suspension - Loss of Results,07/20/2016
"Pizza, Gregory",Track and Field,Androgenic Anabolic Steroid,20-Month Suspension - Loss of Results,07/20/2016
"Dutta, Susan",Equestrian,Methylprednisolone,Public Warning - Loss of Results,07/19/2016
"Holt, Max",Volleyball,Meldonium,No Fault or Negligence,07/14/2016
"Shaldybin, Kristen",Gymnastics,Hydrochlorothiazide,No Fault or Negligence,07/14/2016
"Howe, James",Taekwondo,Cannabinoids,6-Month Suspension with 3-Month Deferral - Loss of Results,07/12/2016
"Brandt-Sorenson, Nick",Cycling,"Non-Analytical: Possession, Trafficking and Complicity  (EPO & hGH)",Lifetime Suspension - Loss of Results; Second & Third Violation,07/11/2016
"Penn, BJ",Mixed Martial Arts,Non-Analytical: Use (IV),6-Month Suspension,06/27/2016
"Tierney, Sam",Swimming,Non-Analytical: Use (Vilanterol),Public Warning,06/24/2016
"Berry, Gwen",Track and Field,Non-Analytical: Use (Vilanterol),3-Month Suspension - Loss of Results,06/13/2016
"Williams, Nia",Rugby,"19-Norandrosterone (19-NA), 19-noretiocholanolone, and Drostanolone and its metabolites",4-Year Suspension - Loss of Results,06/13/2016
"Means, Tim",Mixed Martial Arts,Ostarine,6-Month Suspension - Loss of Results,06/10/2016
"Brandao, Diego",Mixed Martial Arts,Cannabinoids,9-Month Suspension - Loss of Results,05/19/2016
"Faria, Breno Correina Abrantes",Brazilian Jiu-Jitsu - Athlete Support Personnel,Non-Analytical,4-Year Suspension - Loss of Results,05/18/2016
"Lehr, Daniel",Weightlifting,"Androstenedione, Ostarine",4-Year Suspension with 3-Month Reduction - Loss of Results,05/02/2016
"Fischbach, Dylan",Paralympic Basketball,Non-Analytical: Refusal to Submit to Sample Collection,2-Year Suspension - Loss of Results - Additional Results Disqualified,Original: 12/18/2015; Updated: 04/11/2016
"Lugo, Yamile",Cycling,Androgenic Anabolic Steroid,4-Year Suspension with 2-Year Reduction - Loss of Results,04/26/2016
"Romero, Yoel",Mixed Martial Arts,Ibutamoren,6-Month Suspension,04/04/2016
"De Castroverde, Landon",Weightlifting,Non-Analytical: Refusal to Submit to Sample Collection,4-Year Suspension - Loss of Results,04/01/2016
"Paulson, Ashley",Triathlon,Ostarine,6-Month Suspension - Loss of Results,03/31/2016
"Cho, Chris Hyun",Weightlifting,Dimethylbutylamine,6-Month Suspension - Loss of Results,03/30/2016
"Buckley, Michael",Cycling,"Androgenic Anabolic Steroid, Anastrozole, LGD-4033 and Ostarine",4-Year Suspension - Loss of Results,03/25/2016
"Lo, Wayne",Paralympic Table Tennis,Hydrochlorothiazide and Chlorothiazide,Public Warning - Loss of Results,03/09/2016
"Lea, Robert",Cycling,Noroxycodone,6-Month Suspension - Loss of Results,Original: 12/17/2015; Updated: 02/25/2016
"Tibau, Gleison",Mixed Martial Arts,Erythropoietin (EPO),2-Year Suspension - Loss of Results,02/18/2016
"Leeper, Blake (Patrick)",Paralympic Track and Field,Benzoylecgonine,1-Year Suspension - Loss of Results,02/01/2016
"Kyle, Cicely",Weightlifting,Androgenic Anabolic Steroid,2-Year Suspension - Loss of Results,12/30/2015
"Roberto, Joseph",Weightlifting,GHRP-2,4-Year Suspension - Loss of Results,12/29/2015
"Mariita, Lilian",Track and Field,Androgenic Anabolic Steroid,8-Year Suspension - Loss of Results,12/28/2015
"Harbert, Tara",Baseball,Tamoxifen and Non-Analytical: Refusal to Submit to Sample Collection,8-Year Suspension - Loss of Results; Sanction tolled due to retirement,12/21/2015
"Rolo, Nelson",Cycling,Benzoylecgonine,1-Year Suspension - Loss of Results,12/11/2015
"Hickman, Todd",Cycling,Stanozolol / Methylphenidate,4-Year Suspension - Loss of Results,12/04/2015
"Filipovic, Mirko",Mixed Martial Arts,Human Growth Hormone (hGH),2-Year Suspension - Loss of Results,11/25/2015
"Arello Jr., Robert",Track and Field,"Hydrochlorothiazide, Chlorothiazide",Public Warning - Loss of Results,10/27/2015
"Coushay, Brian",Track and Field,Amphetamine,2-Year Suspension - Loss of Results,10/23/2015
"Mulwitz, Lauren",Cycling,Cannabinoids,6-Month Suspension with 3-Month Deferral - Loss of Results,09/11/2015
"Trafeh, Mohamed",Track and Field,"Non-Analytical: Use and Possession (EPO), and Evading Sample Collection",4-Year Suspension - Loss of Results,Original: 12/18/2014; Updated: 08/25/2015
"Rybka, Jason",Weightlifting,"Methasterone, Ostarine, Androstatrienedione",4-Year Suspension with 8 Month Reduction - Loss of Results,08/18/2015
"Field, Emily",Ice Hockey,Non-Analytical: 3 Whereabouts Failures,1-Year Suspension - Loss of Results,06/08/2015
"Radcliffe, Robert",Triathlon,"Non-Analytical: Use and Possession (EPO, hGH)",18-Month Suspension - Loss of Results,06/05/2015
"Radcliffe, Brook",Triathlon,Non-Analytical: Use and Possession (EPO),2-Year Suspension - Loss of Results,06/04/2015
"Schmidt, Kyle",Cycling,Non-Analytical: Use and Possession (EPO),2-Year Suspension - Loss of Results,06/02/2015
"Pena, Felipe",Brazilian Jiu-Jitsu,Androgenic Anabolic Steroid,2-Year Suspension with 1 Year Reduction - Loss of Results,05/26/2015
"Luck, Jonathan (Carter)",Cycling,Non-Analytical: Use and Possession (hGH & Testosterone),12-Month Suspension - Loss of Results,05/13/2015
"McGillivray, Deanna",Team Handball,"Trenbolone, Epitrenbolone",2-Year Suspension - Loss of Results,04/02/2015
"Mutinda, Joseph",Track and Field,"19-norandrosterone, EPO, Furosemide",3-Year Suspension - Loss of Results,03/25/2015
"Odesnik, Wayne",Tennis,"Methenolone, Androst-(2,3)-en-17-one, and GHRP-6",15-Year Suspension - Loss of Results,03/18/2015
"Ketema Asfaw, Atalelech",Track and Field,Ephedrine,2-Year Suspension - Loss of Results,03/12/2015
"Leinders, Geert",Cycling - Athlete Support Personnel,"Non-Analytical: Possession, Trafficking, and Administration",Lifetime Suspension,01/22/2015
"North, Jonathan",Weightlifting,Non-Analytical: 3 Whereabouts Failures,2-Year Suspension - Loss of Results; Sanction tolled due to retirement; Unretired - Eligible to compete starting 2/1/2019,01/22/2015
"Poole, Quintaveon",Track and Field,Methylhexaneamine,6-Month Suspension - Loss of Results,01/20/2015
"Anderson, Kristi",Track and Field,Androgenic Anabolic Steroid,1-Year Suspension - Loss of Results,12/23/2014
"McPherson, Inika",Track and Field,Benzoylecgonine,21-Month Suspension - Loss of Results,12/19/2014
"Drummond, Jon",Track and Field - Athlete Support Personnel,"Non-Analytical: Possession, Trafficking, and Administration",8-Year Suspension,12/17/2014
"Estima, Braulio",Brazilian Jiu-Jitsu,Methylhexaneamine,2-Year Suspension - Loss of Results,11/25/2014
"Carlin, Nikki",Weightlifting,"Clenbuterol, and Oxandrolone and its metabolite",2-Year Suspension - Loss of Results; sanction tolled due to a whereabouts compliance failure,11/14/2014
"Perkins, RaVaughn",Wrestling,Furosemide,6-Month Suspension - Loss of Results,10/16/2014
"Erickson, Sarah",Ice Hockey,Non-Analytical: 3 Whereabouts Failures,1-Year Suspension - Loss of Results,10/13/2014
"Dana, Ryan",Weightlifting,Androgenic Anabolic Steroid,21-Month Suspension - Loss of Results,10/09/2014
"O'Hara, Damian",Judo,"Methylclostebol, Promagnon",1-Year Suspension - Loss of Results,10/08/2014
"Spearmon, Jr., Wallace",Track and Field,Methylprednisolone,3-Month Suspension - Loss of Results,09/19/2014
"Martin, James",Cycling,Non-Analytical: Failure to Appear to Sample Collection,2-Year Suspension - Loss of Results,08/19/2014
"Loader, Logan",Cycling,Methylhexaneamine,8-Month Suspension - Loss of Results; Sanction tolled due to retirement,07/16/2014
"Ives, Kevin",Bobsled and Skeleton,Non-Analytical: 3 Whereabouts Failures,1-Year Suspension - Loss of Results,07/08/2014
"Hicks, Jeremy",Track and Field,Non-Analytical: 3 Whereabouts Failures,1-Year Suspension - Loss of Results,06/20/2014
"Trojan, Nicholas",Rowing,Methylphenidate and its metabolite,9-Month Suspension - Loss of Results,06/11/2014
"Dixon, Reginald",Track and Field,Non-Analytical: 3 Whereabouts Failures,1-Year Suspension - Loss of Results,06/06/2014
"Blanc, Obenson",Wrestling,Ostarine,2-Year Suspension - Loss of Results,05/15/2014
"Robertson, Todd",Cycling,Modafinil,8-Year Suspension - Loss of Results; Second Violation,05/08/2014
"Gay, Tyson",Track and Field,Androgenic Anabolic Steroid,2-Year Suspension with 1 Year Reduction - Loss of Results,05/02/2014
"Koon, Paul",Boxing,Non-Analytical: 3 Whereabouts Failures,2-Year Suspension - Loss of Results,04/28/2014
"Davis, Walter",Track and Field,Non-Analytical: 3 Whereabouts Failures,1-Year Suspension - Loss of Results,04/21/2014
"Carnes, Andrew",Track and Field,"Non-Analytical: Possession, Use and Possession (EPO)",2-Year Suspension - Loss of Results,04/18/2014
"Lemos Garcia, Gabrielle",Brazillian Jiu-Jitsu,Clomiphene,Loss of Results,03/26/2014
"O'Keefe, Shannon",Bowling,Clomiphene,Public Warning,03/14/2014
"Atkinson, Annie",Judo,"Hydrochlorothiazide, Chlorothiazide, Triamterene, 4-hydroxytriamterene",3-Month Suspension - Loss of Results,02/28/2014
"Perry, Brett",Speedskating,Methylphenidate and its metabolite,9-Month Suspension - Loss of Results,02/26/2014
"Beyene, Hirut",Track and Field,Methylhexaneamine,4 Month Suspension - Loss of Results,02/21/2014
"Marte, Cesar",Cycling,Modafinil,2-Year Suspension - Loss of Results,02/03/2014
"Baker, Daniel",Cycling,Androgenic Anabolic Steroid,2-Year Suspension - Loss of Results,01/24/2014
"Robles, Sarah",Weightlifting,Androgenic Anabolic Steroid,2-Year Suspension - Loss of Results,01/14/2014
"LeDuc, David",Cycling,"Androgenic Anabolic Steroid,  Erythropoietin (EPO) and Amphetamine",2-Year Suspension - Loss of Results,12/30/2013
"Klineman, Alexandra",Volleyball,Androgenic Anabolic Steroid,13-Month Suspension - Loss of Results,12/20/2013
"Akor, Mary",Track and Field,Clenbuterol,2-Year Suspension - Loss of Results,12/18/2013
"Rogers, Jason",Cycling,Methylhexaneamine,9-Month Suspension - Loss of Results,11/27/2013
"Meeker, Richard",Cycling,19-norandrosterone (19-NA) and 19-noretiocholanolone,2-Year Suspension - Loss of Results,11/26/2013
"Morelli, Shawn",Paralympic Cycling,Methylhexaneamine,180 Day Suspension - Loss of Results,11/15/2013
"Camarena-Williams, Jillian",Track and Field,Clomiphene,6-Month Suspension - Loss of Results,10/04/2013
"Crouse, Camdin",Paralympic Track and Field,Amphetamine and Methylhexaneamine,2-Year Suspension - Loss of Results; sanction extended due to a whereabouts compliance failure,09/23/2013
"Walden, Spencer",Track and Field,Cannabinoids,6-Month Suspension with 3-Month Deferral - Loss of Results,09/20/2013
"Bradley, Dominique",Wrestling,Methylhexaneamine,8-Month Suspension - Loss of Results,09/06/2013
"Aira, Yoelkis",Cycling,Phentermine,2-Year Suspension - Loss of Results,09/05/2013
"Ramos, Don",Weightlifting,Androgenic Anabolic Steroid,2-Year Suspension - Loss of Results,08/30/2013
"Flood, Gregory",Rowing,Glycerol,Public Warning - Loss of Results,08/20/2013
"Petrucci, Frank",Rowing,Glycerol,Public Warning - Loss of Results,08/20/2013
"Klier, Andreas",Cycling,"Non-Analytical: Use (EPO, hGH, Cortisone, Blood Tranfusions)",6-Month Suspension - Loss of Results,08/15/2013
"Dyer, Kristopher",Weightlifting,Methylhexaneamine,9-Month Suspension - Loss of Results,08/09/2013
"Wilhelm, Brian",Weightlifting,Methylhexaneamine,9-Month Suspension - Loss of Results,08/08/2013
"Teeple, Sloan","Cycling, Triathlon",Androgenic Anabolic Steroid,18-Month Suspension - Loss of Results,06/28/2013
"Anwar, Abdallah",Paralympic Boccia,Hydrochlorothiazide and Chlorothiazide,Public Warning,06/20/2013
"Ostrowski, Cameron",Track and Field,Methylhexaneamine,2-Year Suspension with 1 Year Reduction - Loss of Results,06/07/2013
"Dotti, Juan Pablo",Cycling,Androgenic Anabolic Steroid & Amphetamine,"2-Year Suspension - Loss of Results; 
2-Year Suspension Restarted - Loss of Results",Original: 10/20/2011; Updated: 06/05/2013
"Downing, Trey",Track and Field,Non-Analytical: Refusal to Submit to Sample Collection,18-Month Suspension - Loss of Results,05/31/2013
"Flanagan, Tyler",Skiing and Snowboarding,Non-Analytical: Refusal to Submit to Sample Collection,2-Year Suspension - Loss of Results; Sanction tolled,05/09/2013
"Pol Rodriguez, Yosmani",Cycling,Dexamethasone,2-Year Suspension - Loss of Results,04/19/2013
"Crawford, Shawn",Track and Field,Non-Analytical: 3 Whereabouts Failures,2-Year Suspension - Loss of Results,04/18/2013
"Morales, Erik",Professional Boxing,Clenbuterol,2-Year Suspension - Loss of Results,03/22/2013
"Hersey, Mike",Paralympic Sailing,Hydrochlorothiazide and Chlorothiazide,Public Warning,03/12/2013
"Wenzel, Roger",Track and Field,Androgenic Anabolic Steroid and Modafinil,2-Year Suspension - Loss of Results,03/08/2013
"Aldredge, Graham",Cycling,Non-Analytical: Failure to Appear to Sample Collection,16-Month Suspension - Loss of Results,02/22/2013
"Jay-Rayon, Cyril",Cycling,Modafinil,18-Month Suspension - Loss of Results,12/31/2012
"Hall, Joseph",Shooting,19-norandrosterone (19-NA) and 19-noretiocholanolone,1-Year Suspension - Loss of Results,12/21/2012
"Vessey, Maggie",Track and Field,Canrenone,Public Warning - Loss of Results,12/21/2012
"Hesch, Christian",Track and Field,Non-Analytical: Use (EPO),2-Year Suspension with 6 Month Reduction - Loss of Results,12/14/2012
"Fretta, Mark",Triathlon,ABP and Non-Analytical: Use (EPO),4-Year Suspension - Loss of Results,11/09/2012
"Barry, Michael",Cycling,"Non-Analytical: Use (EPO, hGH, Testosterone)",6-Month Suspension - Loss of Results,10/10/2012
"Danielson, Tom",Cycling,"Non-Analytical: Use (EPO, hGH, Testosterone, Cortisone, Blood Transfusions)",6-Month Suspension - Loss of Results,10/10/2012
"Hincapie, George",Cycling,"Non-Analytical: Use (EPO, hGH, Testosterone, Blood Transfusions)",6-Month Suspension - Loss of Results,10/10/2012
"Leipheimer, Levi",Cycling,"Non-Analytical: Use (EPO, Testosterone, Blood Transfusions)",6-Month Suspension - Loss of Results,10/10/2012
"Vande Velde, Christian",Cycling,"Non-Analytical: Use (EPO, hGH, Testosterone, Cortisone)",6-Month Suspension - Loss of Results,10/10/2012
"Zabriskie, David",Cycling,"Non-Analytical: Use (EPO, hGH, Testosterone)",6-Month Suspension - Loss of Results,10/10/2012
"Cruz, Julio",Cycling,Methylhexaneamine,6-Month Suspension - Loss of Results,09/14/2012
"Dunn Anderson, Debbie",Track and Field,Androgenic Anabolic Steroid,2-Year Suspension - Loss of Results,09/11/2012
"Guarini, Gabriele",Cycling,Erythropoietin (EPO),2-Year Suspension - Loss of Results,09/07/2012
"Andrus, Steven",Wrestling,Cannabinoids & Amphetamine,1-Year Suspension - Loss of Results,08/31/2012
"Lopez, Cesar",Cycling,Cannabinoids,3-Month Suspension with 3-Month Deferral - Loss of Results,08/31/2012
"Armstrong, Lance",Cycling,"Non-Analytical: Use, Possession, Trafficking, Administration and Complicity",Lifetime Suspension - Loss of Results,08/24/2012
"Bascio, Monica","Paralympic Nordic Skiing, Paralympic Cycling",Tuaminoheptane,3-Month Suspension - Loss of Results,08/15/2012
